"","doi","page","author","title"
"150","eyal-epley-2017-exaggerating-accessible-differences-when-gender-stereotypes-overestimate-actual-group-differences.pdf",1,"Tal Eyal and Nichola...","Exaggerating Accessible Differences: Whe..."
"161","fairbairn-et-al-2021-mixing-misery-and-gin-the-effect-of-alcohol-administration-on-ostracism-response.pdf",2,"Catharine E. Fairbai...","Mixing Misery and Gin: The Effect of Alc..."
"164","feldman-et-al-2017-agency-beliefs-over-time-and-across-cultures-free-will-beliefs-predict-higher-job-satisfaction.pdf",2,"Gilad Feldman, Jiing...","Agency Beliefs Over Time and Across Cult..."
"165","fernando-et-al-2018-functions-of-utopia-how-utopian-thinking-motivates-societal-engagement.pdf",13,"Julian W. Fernando, ...","Functions of Utopia: How Utopian Thinkin..."
"166","fida-et-al-2021-the-implicit-component-of-moral-disengagement-applying-the-relational-responding-task-to-investigate.pdf",1,"R. Fida, V. Ghezzi, ...","The Implicit Component of Moral Disengag..."
"168","fischer-et-al-2021-cultural-syndromes-in-a-changing-world-a-longitudinal-investigation-of-brazilian-jeitinho-social.pdf",3,"Ronald Fischer, Joha...","Cultural Syndromes in a Changing World: ..."
"176","fisher-hammond-2018-personal-ties-and-prejudice-a-meta-analysis-of-romantic-attachment-and-ambivalent-sexism.pdf",2,"Molly I. Fisher and ...","Personal Ties and Prejudice: A Meta-Anal..."
"177","fletcher-et-al-2020-reconsidering-best-practices-for-testing-the-ideal-standards-model-a-response-to-eastwick-finkel.pdf",1,"Garth J. O. Fletcher...","Reconsidering Best Practices for Testi..."
"178","flores-et-al-2018-retracted-cardiovascular-and-self-regulatory-consequences-of-ses-based-social-identity-threat.pdf",3,"Abdiel J. Flores, Ta...","RETRACTED: Cardiovascular and Self-Regul..."
"183","fritz-et-al-2017-humor-use-moderates-the-relation-of-stressful-life-events-with-psychological-distress.pdf",2,"Heidi L. Fritz, Lesl...","Humor Use Moderates the Relation of Stre..."
"194","fritzlen-et-al-2019-i-know-what-you-are-but-what-am-i-the-effect-of-recategorization-threat-and-perceived-immutability.pdf",12,"Katherine A. Fritzle...","I Know (What) You Are, But What Am I? Th..."
"197","fuesting-diekman-2016-not-by-success-alone-role-models-provide-pathways-to-communal-opportunities-in-stem.pdf",12,"Melissa A. Fuesting ...","Not By Success Alone"
